"ID"	"State"	"InitialState"	"CellType"	"Tissue"
"Cell_367"	"Cell_367"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_37"	"Cell_37"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_388"	"Cell_388"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_391"	"Cell_391"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_399"	"Cell_399"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_40"	"Cell_40"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_403"	"Cell_403"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_410"	"Cell_410"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_441"	"Cell_441"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_453"	"Cell_453"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_465"	"Cell_465"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_466"	"Cell_466"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_471"	"Cell_471"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_501"	"Cell_501"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_512"	"Cell_512"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_513"	"Cell_513"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_527"	"Cell_527"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_53"	"Cell_53"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_536"	"Cell_536"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_537"	"Cell_537"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_539"	"Cell_539"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_54"	"Cell_54"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_541"	"Cell_541"	"S02"	"IS01"	"B.cells"	"Tumor"
