"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"DUOX1"	"DUOX1"	0.0431776571105375
"ST6GAL2"	"ST6GAL2"	-0.107468053833849
"CRABP1"	"CRABP1"	-0.243951206491268
"AC013461.1"	"AC013461.1"	0.248289328917565
"SNCA"	"SNCA"	-0.382556862218795
"SLCO1B7"	"SLCO1B7"	-0.254902539272594
"SNX5"	"SNX5"	-0.540655948164316
"FIGF"	"FIGF"	-0.0449296209789882
"ITSN1"	"ITSN1"	0.338472475703567
"MYOZ2"	"MYOZ2"	-0.135077327634788
"CFHR3"	"CFHR3"	-0.619481592794425
"TMEM132C"	"TMEM132C"	0.187036584386419
"SLC10A1"	"SLC10A1"	-0.317906684193452
"CHIA"	"CHIA"	-0.218191108996367
"SLC17A2"	"SLC17A2"	-0.0483933918495827
"PATE4"	"PATE4"	-0.106782158334219
"CLEC4M"	"CLEC4M"	0.253886738540099
"CTD.2207O23.3"	"CTD.2207O23.3"	-0.366782582908182
"JAK2"	"JAK2"	-0.525057887267446
"TCF23"	"TCF23"	-0.437190551573491
"TSHB"	"TSHB"	0
"TRPC3"	"TRPC3"	-0.536212074383294
"PRAMEF17"	"PRAMEF17"	0
"ARMS2"	"ARMS2"	0
"OTUD6A"	"OTUD6A"	-0.50715889551446
"GFRA4"	"GFRA4"	-0.0992974949210698
"SCN11A"	"SCN11A"	-0.176529400576248
"RCVRN"	"RCVRN"	-0.143139856174407
"DEFB125"	"DEFB125"	-0.0972172221036891
"P2RX6"	"P2RX6"	-0.555984532011758
"DBH"	"DBH"	-0.643558625216792
"AMER2"	"AMER2"	-0.237077997836504
"C9orf47"	"C9orf47"	-0.227679045447683
"ANKRD63"	"ANKRD63"	-0.195854658153344
"LHCGR"	"LHCGR"	-0.381457046054171
"SLC39A12"	"SLC39A12"	-0.297839357054007
"TEDDM1"	"TEDDM1"	-0.583662895722072
"CTD.2207O23.10"	"CTD.2207O23.10"	-0.193240994468998
"FOXI2"	"FOXI2"	-0.250849408105516
"LSMEM2"	"LSMEM2"	0.0565050366182022
"UBL4B"	"UBL4B"	-0.18001015698565
"TEX40"	"TEX40"	-0.729062852971356
"AMELY"	"AMELY"	-0.177452542790127
"ALDOB"	"ALDOB"	-0.131968074229232
"ODF3L2"	"ODF3L2"	-0.0483933918495827
"GPR42"	"GPR42"	-0.0483933918495827
"GLRA4"	"GLRA4"	-0.0656728361361461
"MAT1A"	"MAT1A"	-0.263589355441913
"TCAP"	"TCAP"	-0.323579272357965
"GC"	"GC"	-0.275619132546021
"GPR182"	"GPR182"	-0.0684780609791893
"C19orf35"	"C19orf35"	0
"SRPX"	"SRPX"	0.935294798894831
"SYP"	"SYP"	-0.150344554640044
"MSS51"	"MSS51"	-0.522519871537836
"KCNA2"	"KCNA2"	-0.358643603865871
"ABCA3"	"ABCA3"	-0.298154532651791
"CFAP58"	"CFAP58"	-0.740712767040898
"F2"	"F2"	-0.31432564174948
"DEFB127"	"DEFB127"	0
"DSTN"	"DSTN"	-0.0998884118829856
"RSPO3"	"RSPO3"	0.556638530384539
"GJD2"	"GJD2"	-0.0564025766093648
"HEMGN"	"HEMGN"	-0.135990411375921
"SLN"	"SLN"	-0.326707846793191
"AMBP"	"AMBP"	-0.231067947038119
"PIWIL1"	"PIWIL1"	0.990196750897833
"C2CD2"	"C2CD2"	5.61754432492258
"MRPL40"	"MRPL40"	-0.900489041173453
"ATP6V1D"	"ATP6V1D"	0.00720227542845722
"LMOD1"	"LMOD1"	1.17397877481581
"DHRS7C"	"DHRS7C"	-0.115808846786234
"CYB561D2"	"CYB561D2"	1.09491149040272
"FTCD"	"FTCD"	-0.356407833201358
"CCDC141"	"CCDC141"	-0.654983929828892
"LILRA1"	"LILRA1"	-0.253661131642922
"ST8SIA3"	"ST8SIA3"	-0.0962343333762617
"SELP"	"SELP"	0.992947695478397
"CH507.396I9.6"	"CH507.396I9.6"	-0.0980226951223653
"FP325317.1"	"FP325317.1"	-0.440449588673733
"ZNF99"	"ZNF99"	-0.0777689247573753
"CRYBA2"	"CRYBA2"	-0.261957380913755
"RP5.877J2.1"	"RP5.877J2.1"	-0.0679756083711351
"GAD2"	"GAD2"	-0.195997830303754
"IGFBP1"	"IGFBP1"	-0.248625019817501
"CACNA1S"	"CACNA1S"	-0.111171942826464
"GPR142"	"GPR142"	-0.285003492123683
"CYP2C9"	"CYP2C9"	-0.387904620319548
"APOA5"	"APOA5"	-0.162015394475779
"TCEAL6"	"TCEAL6"	-0.425934769217735
"PKP4"	"PKP4"	-1.17618172368718
"PDZD2"	"PDZD2"	-0.555762840944974
"F13B"	"F13B"	-0.17111623436898
"TRPC5"	"TRPC5"	-0.27298378793943
"ART1"	"ART1"	-0.215470491990262
"GPR52"	"GPR52"	-0.0483933918495827
"ACTN2"	"ACTN2"	-0.445505813893486
"PATE3"	"PATE3"	-0.0559019775063785
"CYP3A4"	"CYP3A4"	2.32458910634279
"APOH"	"APOH"	-0.443464873589883
"FAM26D"	"FAM26D"	-0.071031308998
"VSX1"	"VSX1"	-0.093703227502253
"CABP7"	"CABP7"	-0.272339579844182
"KLHL40"	"KLHL40"	-0.0483933918495827
"GHRHR"	"GHRHR"	-0.285460611425562
"AGBL1"	"AGBL1"	-0.209792528368561
"KLHL33"	"KLHL33"	-0.244645113906565
"PPP1R3A"	"PPP1R3A"	-0.057508343513336
"ABC7.42404400C24.1"	"ABC7.42404400C24.1"	-0.68291142443519
"CTNNA3"	"CTNNA3"	0.388094628085848
"KCNK2"	"KCNK2"	-0.0725304258739166
"WFIKKN2"	"WFIKKN2"	-0.274449917878779
"GYPB"	"GYPB"	-0.0685215060767232
"OS9"	"OS9"	-0.199986337063669
"MYF6"	"MYF6"	-0.112459003126539
"LVRN"	"LVRN"	-0.634648494549636
"CSHL1"	"CSHL1"	-0.0685188263753994
"PENK"	"PENK"	-0.0657943257920705
"KRTAP13.2"	"KRTAP13.2"	-0.105860127454535
"TMEM114"	"TMEM114"	-0.154483165741668
"GLP2R"	"GLP2R"	0.262715912367669
"RP5.972B16.2"	"RP5.972B16.2"	-0.196700045985638
"ZNF728"	"ZNF728"	-0.0784836150288696
"CRLF2"	"CRLF2"	0.535182161863576
"GLRA1"	"GLRA1"	-0.278555553422771
"RP11.248J23.7"	"RP11.248J23.7"	-0.719474986953953
"RHOXF1"	"RHOXF1"	-0.031896301289239
"SLC35F4"	"SLC35F4"	0.223710382063058
"RHAG"	"RHAG"	0
"C10orf90"	"C10orf90"	0.682839205276288
"COLEC10"	"COLEC10"	-0.638781002937905
"DEFB129"	"DEFB129"	-0.131439947703329
"KRTAP13.4"	"KRTAP13.4"	-0.0483933918495827
"PKLR"	"PKLR"	-0.110226089546399
"GIMAP4"	"GIMAP4"	-0.0776157665391285
"SLC22A12"	"SLC22A12"	0
"AC104389.2"	"AC104389.2"	-0.060774630710047
"CLEC9A"	"CLEC9A"	-0.374158366972517
"PCSK5"	"PCSK5"	-0.19590284529791
"CAPZA2"	"CAPZA2"	0.725912583362555
"TIMP2"	"TIMP2"	0.105385552615582
