Mixture	Fibroblasts	Endothelial.cells	Epithelial.cells	B.cells	CD4.T.cells	CD8.T.cells	Dendritic.cells	Mast.cells	Monocytes.and.Macrophages	NK.cells	PCs	PMNs
TCGA.66.2795.01A.02R.0980.07	0.188328298430868	0.0129319874404244	0.475335702342481	0.00467651013347904	0.0479066761896429	0.02357041897737	0.00561700148843467	0.0086021435228522	0.18493864134184	0.00459307394830666	0.0393589842787324	0.0041405619055687
TCGA.66.2800.01A.01R.1201.07	0.0402719948225176	0.0125806565165674	0.680103572573567	0.0066969493395674	0.0373148481966432	0.0147044609623262	0.0150953615447025	0.0155038011049323	0.134413149559494	0.00577346896973429	0.029838786252402	0.00770295015754563
TCGA.68.7757.01B.11R.2296.07	0.283255172994668	0.00691553631540912	0.52448308654499	0.00244531243823721	0.0310499984006049	0.0109520882511164	0.00417195313784526	0.0129902259908841	0.0893432283649712	0.00342606909974861	0.0273198488341783	0.00364747962734622
TCGA.69.7761.01A.11R.2170.07	0.0676469268518177	0.0196428103077825	0.463084998355255	0.0115402377076597	0.0892821976101476	0.0594745692414971	0.0103811069237965	0.0173231836308591	0.160765789233786	0.00433215154601446	0.0928947037777188	0.00363132481366517
TCGA.69.7978.01A.11R.2187.07	0.0986323059633057	0.0262094411480218	0.345915572355119	0.00965920287833322	0.0886706095705204	0.0739009276277084	0.0255513734278883	0.023849134779161	0.219883179231666	0.0228267517126185	0.0593370703962271	0.00556443090943042
TCGA.69.8453.01A.12R.2326.07	0.0164497589058313	0.0209338703786436	0.512029136933523	0.0137868208670606	0.0589099598853004	0.0414074137126282	0.0101961589535448	0.0174927106708612	0.271791520422605	0.0227192390580302	0.0112075614241542	0.00307584878781782
TCGA.70.6723.01A.11R.1820.07	0.0237809468013491	0.0061226639271644	0.935217779363841	0.000436399539841992	0.00461074370428017	0.00820581265199625	0.000678064732322675	0.00088247272616878	0.0152363902174895	0.00404087681365174	0.000787849521894541	0
TCGA.73.4662.01A.01R.1206.07	0.0494816718912683	0.0152168233779628	0.640246641987751	0.0166620724342323	0.0616359957997403	0.0246308834445574	0.0207471373996672	0.00838365100726037	0.107324408276304	0.0106924117509043	0.0449783026303518	0
TCGA.73.4670.01A.01R.1206.07	0.145722167554198	0.0158142427679063	0.627312215910273	0.00523668508774363	0.0275143246807229	0.0120133494960302	0.0152816692608319	0.0033019175443194	0.104501423063326	0.00668398643810717	0.0303809406445051	0.00623707755203672
TCGA.73.4677.01A.01R.1206.07	0.0215937122892629	0.0233181440173663	0.804031651596479	0.0032308701597124	0.0304401935740261	0.015191995146173	0.00577552035327736	0.00459225204624689	0.0630194336203309	0.00461666063356518	0.0232742115070419	0.000915355056518149
TCGA.75.5146.01A.01R.1628.07	0.0118043175061738	0.0227226081871594	0.733656386835557	0.01392555336917	0.0572295459060656	0.0203035649622672	0.00720651198503928	0.00600957518673914	0.071379185845397	0.00586072784292949	0.0481858759317036	0.00171614644179813
TCGA.75.6206.01A.11R.1755.07	0.0562089442098418	0.0274445534446651	0.702160522007033	0.00156184255552815	0.0299267961307995	0.00602469151148839	0.00453758405930498	0.00977193829293061	0.146667937782926	0.00639704745481037	0.00731296424072325	0.00198517830994944
TCGA.75.6211.01A.11R.1755.07	0.131335016775019	0.0125957329473599	0.708453962009362	0.00145264678178735	0.0368630710265031	0.00936857576020244	0.00412286451170604	0.00202271288212893	0.0476663855853686	0.00374234387490419	0.0404110361189436	0.00196565172671486
TCGA.75.7031.01A.11R.1949.07	0.0261702367171892	0.00484433526828562	0.735383006888195	0.00197979959297819	0.0446153754766707	0.0370295142881376	0.00845900071508937	0.00469390568776295	0.100211191881182	0.0127104081247538	0.0219885727511854	0.00191465260857043
TCGA.77.7138.11A.01R.2045.07	0.0190265906321081	0.119414689860632	0.379535572396853	0.00193150795288598	0.0511580866462764	0.0329484021522763	0.0113737730612775	0.0542131704255886	0.257450779121565	0.0418125155335432	0.0182018069340324	0.0129331052829613
TCGA.77.7335.11A.01R.2045.07	0.0198168033419215	0.0848762105464607	0.314664129183437	0.00164686450425172	0.108050914930685	0.0917421139161999	0.0224217655065712	0.0319267843254359	0.272519924558259	0.0324356378375522	0.0168823228718462	0.0030165284773804
